Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Test_MAE,CV_RMSE
Random Forest,0.9558254505687298,0.495457449869944,0.09557515521971545,0.7409539558940709,0.1871314492753622,0.3087032090223994
Linear Regression,0.5571451913488326,0.4913209813976489,0.30261442780840014,0.7439850940708932,0.29728904864843153,0.33237043611955963
Support Vector Regression,0.8081589164101488,0.46405575082244344,0.19917267543204037,0.7636636689283351,0.24607510280518097,0.343909090734264
Gradient Boosting,0.9929126343011846,0.44984660381271835,0.0382825950020306,0.7737207091712803,0.18657913140270982,0.2992054421158821
Elastic Net,0.5387650055593005,0.4376315606437309,0.30883042060047916,0.782263004916978,0.2847232801597605,0.3303141530347832
Neural Network,0.28682864025862986,0.3744729507413974,0.3840218140025978,0.8250216954075262,0.35007811808904515,0.3441681692962676
