GHGRP 1,Company,Facility,Subsector,Extraction Technology,Product,AER Approval 1,Year,Cogen_Adjusted_Emission,Production,Emission_Intensity
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2023,3652597.0,13769028,0.265
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2023,183389.0,219034,0.837
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2023,4895564.0,7946147,0.616
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2023,5021276.0,12641292,0.397
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2023,3329250.0,10628775,0.313
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2023,0.0,0,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2023,534559.0,1070011,0.5
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2023,212168.0,221116,0.96
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2023,2668476.0,6580527,0.406
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2023,1589613.0,3410118,0.466
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2023,548023.0,1305379,0.42
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2023,509448.0,969010,0.526
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2023,1810797.0,3845624,0.471
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2023,514322.0,568376,0.905
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2023,953004.0,1947377,0.489
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2023,1974929.0,5725560,0.345
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2023,601727.0,1202241,0.501
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2023,0.0,12479,0.0
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2023,1335476.0,2839289,0.47
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2023,3075078.0,7402729,0.415
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2023,919658.0,1065634,0.863
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2023,3023309.0,4786594,0.632
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2023,5329448.0,18125820,0.294
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2023,1990074.0,8911935,0.223
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2023,4819309.0,13724261,0.351
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2023,3299949.0,16728696,0.197
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2023,12626079.0,18382531,0.687
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2023,7234601.0,18432794,0.392
