GHGRP 1,Company,Facility,Subsector,Extraction Technology,Product,AER Approval 1,Year,Cogen_Adjusted_Emission,Production,Emission_Intensity
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2014,503979.0,1470193,0.343
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2014,610717.0,628408,0.972
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2014,2566752.0,5313264,0.483
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2014,6228170.0,14324436,0.435
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2014,0.0,0,0.0
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2014,3430174.0,6473388,0.53
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2014,1249957.0,4618945,0.271
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2014,11323070.0,15164026,0.747
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2014,7934818.0,17179104,0.462
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2015,470218.0,843780,0.557
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2015,0.0,0,0.0
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2015,174345.0,114512,1.523
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2015,0.0,0,0.0
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2015,2003802.0,8690348,0.231
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2015,275360.0,279690,0.985
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2015,4830627.0,9180148,0.526
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2015,3720545.0,10837183,0.343
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2015,2441261.0,7581299,0.322
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2015,0.0,5758,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2015,0.0,0,0.0
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2015,203293.0,306372,0.664
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2015,1809260.0,5026672,0.36
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2015,576547.0,1707843,0.338
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2015,481965.0,1156223,0.417
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2015,237926.0,662454,0.359
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2015,2706791.0,1756051,1.541
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2015,16177.0,0,0.0
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2015,821183.0,1781309,0.461
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2015,1770419.0,4644370,0.381
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2015,198364.0,448896,0.442
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2015,60428.0,44962,1.344
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2015,612686.0,365125,1.678
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2015,902639.0,1619970,0.557
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2015,560662.0,664795,0.843
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2015,2986716.0,5769076,0.518
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2015,5150389.0,13951928,0.369
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2015,0.0,0,0.0
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2015,3709328.0,7285146,0.509
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2015,2275372.0,9732736,0.234
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2015,10842756.0,14666091,0.739
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2015,8065378.0,18974542,0.425
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2016,375188.0,499986,0.75
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2016,0.0,0,0.0
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2016,308309.0,429621,0.718
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2016,0.0,0,0.0
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2016,2328922.0,9240749,0.252
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2016,267969.0,306914,0.873
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2016,4648905.0,9353491,0.497
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2016,3676670.0,10500700,0.35
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2016,2867787.0,8166562,0.351
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2016,0.0,0,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2016,0.0,0,0.0
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2016,65641.0,90752,0.723
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2016,2061082.0,6377582,0.323
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2016,700320.0,2193371,0.319
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2016,474786.0,1188198,0.4
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2016,249073.0,891263,0.279
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2016,1171641.0,1265750,0.926
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2016,16022.0,0,0.0
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2016,798337.0,1608217,0.496
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2016,1675291.0,4649055,0.36
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2016,229017.0,422223,0.542
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2016,0.0,0,0.0
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2016,1214080.0,1501595,0.809
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2016,2035437.0,4085718,0.498
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2016,660886.0,1111158,0.595
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2016,3136185.0,4114194,0.762
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2016,4612376.0,15113884,0.305
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2016,0.0,0,0.0
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2016,3716404.0,7330493,0.507
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2016,2550641.0,10783943,0.237
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2016,10490724.0,16148748,0.65
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2016,6610597.0,15410186,0.429
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2017,490201.0,728849,0.673
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2017,0.0,0,0.0
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2017,342202.0,518735,0.66
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2017,0.0,0,0.0
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2017,2954322.0,11926759,0.248
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2017,326049.0,271559,1.201
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2017,4778529.0,9436475,0.506
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2017,3723606.0,10568529,0.352
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2017,2928880.0,8895301,0.329
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2017,0.0,0,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2017,184085.0,195214,0.943
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2017,0.0,0,0.0
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2017,2282596.0,6763723,0.337
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2017,706793.0,2094270,0.337
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2017,535093.0,1204933,0.444
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2017,267917.0,798344,0.336
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2017,1501112.0,2366270,0.634
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2017,413499.0,242057,1.708
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2017,860352.0,1800158,0.478
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2017,1707173.0,4466111,0.382
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2017,274863.0,470046,0.585
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2017,0.0,0,0.0
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2017,1580151.0,2330215,0.678
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2017,3050754.0,6972243,0.438
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2017,739616.0,1271324,0.582
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2017,3447865.0,4563519,0.756
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2017,4858704.0,16066131,0.302
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2017,421029.0,122070,3.449
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2017,4612041.0,10000446,0.461
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2017,2662557.0,11382738,0.234
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2017,10824706.0,14662669,0.738
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2017,7954443.0,18933281,0.42
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2018,445216.0,643975,0.691
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2018,0.0,0,0.0
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2018,322077.0,522093,0.617
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2018,105182.0,72291,1.455
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2018,3007251.0,11677119,0.258
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2018,309120.0,164324,1.881
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2018,4729333.0,8568235,0.552
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2018,4297520.0,11840911,0.363
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2018,3342282.0,9395596,0.356
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2018,0.0,0,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2018,446046.0,1087986,0.41
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2018,16778.0,2257,7.433
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2018,2364070.0,5806860,0.407
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2018,717308.0,2003422,0.358
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2018,495958.0,1098248,0.452
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2018,391908.0,949357,0.413
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2018,1397665.0,2577113,0.542
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2018,518483.0,424599,1.221
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2018,980419.0,2085297,0.47
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2018,1745665.0,4503294,0.388
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2018,336009.0,643072,0.523
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2018,0.0,0,0.0
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2018,1696283.0,2898655,0.585
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2018,3274901.0,7989074,0.41
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2018,794642.0,1300271,0.611
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2018,3409741.0,3906177,0.873
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2018,5085674.0,16576410,0.307
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2018,1758072.0,7534498,0.233
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2018,4894848.0,13402497,0.365
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2018,2700855.0,12920362,0.209
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2018,11224853.0,14630526,0.767
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2018,7316179.0,16840148,0.434
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2019,449556.0,634257,0.709
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2019,19918.0,20339,0.979
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2019,314608.0,492863,0.638
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2019,208922.0,441124,0.474
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2019,3177619.0,11301735,0.281
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2019,292596.0,236341,1.238
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2019,4789459.0,8197720,0.584
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2019,4572504.0,10851592,0.421
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2019,3364615.0,9273528,0.363
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2019,0.0,0,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2019,539487.0,1506893,0.358
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2019,174454.0,159240,1.096
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2019,2399866.0,5672723,0.423
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2019,642627.0,1907689,0.337
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2019,526762.0,1019282,0.517
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2019,404953.0,1033550,0.392
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2019,1229340.0,2686944,0.458
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2019,519961.0,485448,1.071
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2019,825208.0,1693257,0.487
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2019,1887511.0,4955275,0.381
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2019,464536.0,1088056,0.427
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2019,0.0,0,0.0
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2019,1415895.0,2865301,0.494
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2019,2938069.0,7264704,0.404
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2019,912682.0,1374473,0.664
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2019,3384500.0,4410016,0.767
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2019,5176461.0,16618915,0.311
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2019,1979053.0,9506450,0.208
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2019,4356066.0,11756763,0.371
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2019,2815527.0,12803776,0.22
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2019,11671172.0,17407321,0.67
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2019,8117839.0,18875866,0.43
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2020,383464.0,585133,0.655
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2020,24118.0,9842,2.451
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2020,187755.0,260756,0.72
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2020,197825.0,415961,0.476
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2020,3445096.0,12718177,0.271
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2020,222734.0,133711,1.666
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2020,4558553.0,7757061,0.588
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2020,4343618.0,10609132,0.409
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2020,3366480.0,9229300,0.365
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2020,0.0,0,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2020,534319.0,1185736,0.451
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2020,0.0,61755,0.0
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2020,2456268.0,6032137,0.407
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2020,1250046.0,3500807,0.357
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2020,483374.0,1062779,0.455
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2020,344768.0,885162,0.389
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2020,924888.0,1838551,0.503
